;Latitude;Longitude;cluster
0;48.804;9.233;0
1;48.778;9.131;0
2;49.116;7.81;-1
3;52.506;4.7;-1
4;52.536;13.43;-1
5;48.682;9.016;1
6;48.874065;9.596336;-1
7;51.526;6.682;18
8;52.53;13.39;-1
9;54.35;18.532;76
10;51.23;7.86;-1
11;46.67;14.26;-1
12;48.53;9.053;-1
13;42.734;24.252;-1
14;48.002;7.838;10
15;51.066;13.768;55
16;48.822;11.854;-1
17;48.768;9.822;-1
18;48.002;7.788;10
19;51.18;17.168;-1
20;51.386;12.516;53
21;42.662;23.278;-1
22;42.632;23.408;-1
23;48.794;8.956;-1
24;42.614;23.164;-1
25;42.686;23.166;-1
26;42.618793;23.169527;-1
27;42.992;24.814;-1
28;41.946247;25.537355;-1
29;42.616;23.35;-1
30;42.49;26.012;-1
31;59.306;18.09;91
32;55.492;13.506;-1
33;40.294;-3.754;-1
34;59.458;17.814;91
35;58.344;15.316;-1
36;59.332;18.244;91
37;59.402;17.866;91
38;57.654;12.044;83
39;59.85;10.454;-1
40;49.894;10.923;44
41;48.274;12.214;-1
42;51.418;6.752;18
43;51.052;13.756;55
44;49.632;8.346;3
45;48.108;11.448;12
46;53.092;8.8;50
47;48.212;11.256;12
48;48.835;9.221;0
49;53.594;9.952;48
50;51.908;4.494;31
51;52.018;4.726;30
52;50.924;4.396;-1
53;52.008;4.708;30
54;50.85;4.598;33
55;55.74;37.662;93
56;47.404;8.502;9
57;51.038;6.992;16
58;51.038;7.012;-1
59;50.518;8.588;-1
60;51.12;6.956;-1
61;50.878;4.762;33
62;47.946;2.532;66
63;47.876;8.346;9
64;51.436;6.972;19
65;42.664;23.364;-1
66;51.126;16.968;73
67;48.148;8.542;-1
68;48.426;13.344;-1
69;51.112;6.776;17
70;50.862;4.696;33
71;50.856;4.352;34
72;52.204;9.91;-1
73;50.828;4.416;-1
74;50.732;10.174;-1
75;51.332;12.336;53
76;51.198;6.824;17
77;50.142;8.724;5
78;51.432;6.972;19
79;43.754;3.964;-1
80;50.814;4.572;33
81;50.914;4.484;-1
82;50.97;4.962;-1
83;50.906;4.438;-1
84;53.112;7.356;-1
85;48.55283;18.172869;-1
86;52.505;13.418;-1
87;49.44;11.102;44
88;50.932;6.96;16
89;50.074;19.92;70
90;53.068;18.224;75
91;50.876;4.47;-1
92;47.78;9.606;-1
93;49.487;8.47;3
94;50.874;4.854;33
95;50.864;5.176;32
96;50.956;17.276;-1
97;50.952;6.93;16
98;50.702;7.276;-1
99;50.012;20.026;70
100;49.406;19.484;-1
101;48.83;9.114;-1
102;51.96;8.542;41
103;51.014;4.294;-1
104;50.832;4.248;-1
105;50.804;4.284;-1
106;50.874;4.762;33
107;49.152;9.282;-1
108;47.754;9.566;-1
109;47.694;9.442;-1
110;49.756;6.994;52
111;52.474;10.768;43
112;42.706;23.282;-1
113;50.91;4.192;-1
114;48.77;9.154;0
115;50.926;4.374;-1
116;41.188;-8.642;-1
117;41.6;23.806;-1
118;51.072;3.536;36
119;42.662;23.26;-1
120;43.414;24.634;-1
121;42.852;23.042;-1
122;42.016;23.086;-1
123;42.664;23.61;-1
124;51.456;6.578;18
125;42.502;26.526;-1
126;42.694;23.318;-1
127;42.054;24.546;80
128;42.9;25.33;-1
129;42.688;23.344;79
130;44.648;10.916;-1
131;48.034;9.8;-1
132;42.64;23.312;-1
133;48.072;9.884;7
134;52.896;6.496;-1
135;47.808;9.476;-1
136;48.76;11.442;-1
137;50.24;11.322;-1
138;50.832;4.39;34
139;50.832;4.39;34
140;49.546;7.906;-1
141;47.641;8.079;9
142;42.71;23.31;79
143;48.884;9.182;-1
144;50.824;7.134;15
145;50.868;4.382;-1
146;54.282;10.078;49
147;48.85;8.924;-1
148;48.854;8.83;-1
149;49.232;9.222;-1
150;52.006;4.704;30
151;48.474;9.138;-1
152;49.678;6.56;-1
153;48.012;10.03;-1
154;50.942;6.9;16
155;51.448;6.65;18
156;49.19;7.62;-1
157;50.421;7.945;-1
158;52.284;9.892;42
159;49.476;11.01;44
160;42.714;23.31;-1
161;42.19;24.326;80
162;43.228;28.006;81
163;42.658;23.248;-1
164;42.874;25.32;-1
165;42.632;23.186;-1
166;43.779;23.726;-1
167;42.716;23.306;-1
168;50.848;4.336;-1
169;50.862;4.36;34
170;50.086;20.032;70
171;42.657;23.349;-1
172;51.502;10.8;-1
173;47.702;9.826;-1
174;50.814;6.59;-1
175;50.856;15.716;-1
176;52.292;7.456;-1
177;49.638;6.83;52
